"","fullname","playerID","yearID","teamID","lgID","salary","percent_positive_ab","percent_NAB","PA","salary_per_NAB","salary_per_Good_AB","diff_salary_good_vs_bad","fit.cluster","team_payroll","total_salary_NAB","total_salary_GAB","W","diff_payroll"
"11","Brent   Abernathy","abernbr01",2002,"TBA","AL",215000,0.292338709677419,0.108870967741935,496,23407.2580645161,62852.8225806452,39445.564516129,1,19895000,4768067.5499147,6296446.77713415,55,1528379.22721945
"12","Shawn   Abner","abnersh01",1990,"SDN","NL",105000,0.294416243654822,0.157360406091371,197,16522.8426395939,30913.7055837563,14390.8629441624,1,8792834,1422407.98810517,3193406.3608992,75,1770998.37279403
"13","Shawn   Abner","abnersh01",1991,"SDN","NL",180000,0.25,0.21875,128,39375,45000,5625,1,9850000,1599729.8083139,3595188.54320908,84,1995458.73489518
"14","Shawn   Abner","abnersh01",1992,"CHA","AL",297500,0.342105263157895,0.166666666666667,228,49583.3333333333,101776.315789474,52192.9824561404,1,17677500,2519223.88645856,6012349.67131676,86,3493125.7848582
"15","Shawn   Abner","abnersh01",1989,"SDN","NL",77500,0.236363636363636,0.190909090909091,110,14795.4545454545,18318.1818181818,3522.72727272727,1,6228167,1126634.61348468,2288340.24541709,89,1161705.63193241
"16","Bobby   Abreu","abreubo01",1997,"HOU","NL",150000,0.328571428571429,0.228571428571429,210,34285.7142857143,49285.7142857143,15000,1,26555000,4498307.39113519,10587942.0339755,84,6089634.64284031
"17","Bobby   Abreu","abreubo01",2005,"PHI","NL",13100000,0.427792915531335,0.192098092643052,734,2516485.01362398,5604087.19346049,3087602.17983651,4,59836667,10744232.9896493,22993627.6943083,88,12249394.704659
"18","Bobby   Abreu","abreubo01",2008,"NYA","AL",16000000,0.37463556851312,0.17930029154519,686,2868804.66472303,5994169.09620991,3125364.43148688,4,134629771,25373635.4771692,51437282.4658741,89,26063646.9887049
"19","Bobby   Abreu","abreubo01",2003,"PHI","NL",9100000,0.429378531073446,0.196327683615819,708,1786581.92090395,3907344.63276836,2120762.71186441,2,39446667,7673234.00196996,15237550.6506671,86,7564316.64869714
"20","Bobby   Abreu","abreubo01",2000,"PHI","NL",2933333,0.428156748911466,0.18577648766328,689,544944.301886792,1255926.32075472,710982.018867924,5,25720000,4770246.93777523,8895570.78248302,65,4125323.84470779
"21","Bobby   Abreu","abreubo01",2009,"LAA","AL",5000000,0.409495548961424,0.189910979228487,674,949554.896142433,2047477.74480712,1097922.84866469,2,64600000,12282480.8541622,23528602.2930391,97,11246121.438877
"22","Bobby   Abreu","abreubo01",1999,"PHI","NL",400000,0.458208955223881,0.188059701492537,670,75223.8805970149,183283.582089552,108059.701492537,1,16051666,3059285.16129325,5916261.02177155,77,2856975.8604783
"23","Bobby   Abreu","abreubo01",2011,"LAA","AL",9000000,0.363327674023769,0.205432937181664,589,1848896.43463497,3269949.06621392,1421052.63157895,2,68612166,13435345.7910446,21147004.0061423,86,7711658.2150977
"24","Bobby   Abreu","abreubo01",2002,"PHI","NL",6333333,0.429394812680115,0.184438040345821,694,1168107.52737752,2719500.33717579,1551392.80979827,2,33801666,5851295.72356735,12478372.6615227,80,6627076.93795531
"25","Bobby   Abreu","abreubo01",2001,"PHI","NL",4983000,0.415384615384615,0.20979020979021,715,1045384.61538462,2069861.53846154,1024476.92307692,5,24898000,4734248.823246,9031380.62751,86,4297131.804264
"26","Bobby   Abreu","abreubo01",1998,"PHI","NL",180000,0.429048414023372,0.232053422370618,599,41769.6160267112,77228.714524207,35459.0984974958,1,13690000,1993429.59578753,4695002.73128187,75,2701573.13549434
"27","Bobby   Abreu","abreubo01",2007,"NYA","AL",15000000,0.379113018597997,0.180257510729614,699,2703862.66094421,5686695.27896996,2982832.61802575,4,123910296,22056773.5723926,48781181.2462491,94,26724407.6738565
"28","Bobby   Abreu","abreubo01",2010,"LAA","AL",9000000,0.362686567164179,0.216417910447761,670,1947761.19402985,3264179.10447761,1316417.91044776,2,51853666,10267698.8180217,18118315.2028872,80,7850616.38486545
"29","Bobby   Abreu","abreubo01",2004,"PHI","NL",10600000,0.44536652835408,0.167358229598893,723,1773997.23374827,4720885.20055325,2946887.96680498,4,49381667,9248894.14905136,19432403.3253888,86,10183509.1763375
"30","Bobby   Abreu","abreubo01",2006,"PHI","NL",13600000,0.446952595936795,0.212189616252822,443,2885778.78103837,6078555.30474041,3192776.52370203,4,47485000,8763223.30366793,18196476.3787086,85,9433253.07504066
"31","Jose   Abreu","abreujo02",2014,"CHA","AL",7000000,0.403453689167975,0.227629513343799,637,1593406.59340659,2824175.82417582,1230769.23076923,2,48713500,11918105.6253327,16174033.3931955,73,4255927.76786274
